hospital_id,code,code_type,cdm_code,rev_code,description,gross_charge,discounted_cash,setting
san_ramon,75898,CPT,4615898,320,ANGIO EXIST CATH F/U STU,12224.0,9168.0,both
san_ramon,75716,CPT,4615718,320,ANGIO EXTREMITY BILAT,11951.0,8963.25,both
san_ramon,75710,CPT,4615712,320,ANGIO EXTREMITY UNILAT,14644.0,10983.0,both
san_ramon,75710,CPT,4905798,320,ANGIO EXTREMITY UNILAT,16386.0,12289.5,both
san_ramon,75756,CPT,4615757,320,ANGIO INTERNAL MAMMARY,9149.0,6861.75,both
san_ramon,75746,CPT,4615747,320,ANGIO PULM NON-SEL CATH,6866.0,5149.5,both
san_ramon,75743,CPT,4615744,320,ANGIO PULM SEL BI,16754.0,12565.5,both
san_ramon,75741,CPT,4615742,320,ANGIO PULMONARY UNI SLCT,11380.0,8535.0,both
san_ramon,75774,CPT,4613540,320,ANGIO SELECT EA ADD VESL,5102.0,3826.5,both
san_ramon,75726,CPT,4615727,320,ANGIO VISCERAL SEL/SUPSEL,5944.0,4458.0,both
san_ramon,82164,CPT,7252164,300,ANGIOTENSIN CONV ENZYME,3.67,2.75,both
san_ramon,,,4617249,360,ANGIPLASTY VEN EA ADDL,5448.0,4086.0,both
san_ramon,,,4617248,360,ANGIPLASTY VEN INIT+S&I,49644.0,37233.0,both
san_ramon,73600,CPT,4903600,320,ANKLE 2 VIEWS,2136.0,1602.0,both
san_ramon,73610,CPT,4903610,320,ANKLE 3 VIEWS MINIMUM,2469.0,1851.75,both
san_ramon,74425,CPT,4614425,320,ANTEGRADE NEPHROSTOGRAM,3434.0,2575.5,both
san_ramon,74425,CPT,4904425,320,ANTEGRADE NEPHROSTOGRAM,4058.0,3043.5,both
san_ramon,83520,CPT,7253613,300,ANTI HMGCR AB,90.0,67.5,both
san_ramon,86255,CPT,7258615,300,ANTI NMDA RECEPTOR AB,234.0,175.5,both
san_ramon,83516,CPT,7252322,300,ANTI-GLOMERULAR BSMNT,7.33,5.5,both
san_ramon,83520,CPT,7251259,300,ANTI-GLOMERULAR BSMNT,59.45,44.59,both
san_ramon,83516,CPT,7253607,300,ANTI-PLA2R,105.0,78.75,both
san_ramon,86060,CPT,7256060,300,ANTI-STREPTOLYSN O TITER,3.67,2.75,both
san_ramon,86870,CPT,4106024,300,ANTIBDY IDENT RBC EA PNL,1749.0,1311.75,both
san_ramon,86870,CPT,4156024,300,ANTIBDY IDENT RBC EA PNL,458.0,343.5,both
san_ramon,86870,CPT,7036024,300,ANTIBDY IDENT RBC EA PNL,63.24,47.43,both
san_ramon,83516,CPT,7253548,300,ANTICHROMATIN AB,9.51,7.13,both
san_ramon,,,5318335,250,ANTICOAG CIT/DXSOL-A50ML,34.0,25.5,both
san_ramon,,,5318336,250,ANTICOAG NA CIT 250ML IJ,172.0,129.0,both
san_ramon,,,5318310,250,ANTICOAGUL NA CIT30MLIJ,342.0,256.5,both
san_ramon,80339,CPT,7252539,300,ANTIEPILEPTIC NOS 1-3/9,50.0,37.5,both
san_ramon,86038,CPT,7256043,300,ANTINUCLEAR AB(ANA)/2,2.44,1.83,both
san_ramon,86148,CPT,7256142,300,ANTIPHOSPHATIDYLSERINE AB,6.52,4.89,both
san_ramon,86148,CPT,7256143,300,ANTIPHOSPHATIDYLSERINE AB/2,6.52,4.89,both
san_ramon,86148,CPT,7256144,300,ANTIPHOSPHATIDYLSERINE AB/3,6.52,4.89,both
san_ramon,86148,CPT,7256149,300,ANTIPHOSPHATIDYLSERINE AB/4,105.0,78.75,both
san_ramon,83520,CPT,7258377,300,ANTIPROTEINASE 3 AB/2,6.0,4.5,both
san_ramon,,,5318299,250,ANTITHROMBIN 3 PER 1U IJ,33.0,24.75,both
san_ramon,,,5318299,636,ANTITHROMBIN 3 PER 1U IJ,33.0,24.75,both
san_ramon,85300,CPT,7255309,300,ANTITHROMBIN III ACTIVITY/2,14.5,10.88,both
san_ramon,82103,CPT,7256067,300,ANTITRYPSIN ALPHA 1 TOTL,4.5,3.38,both
